Passage,Question,AnsText
"খাদ্যের উপাদান ছয়টি।  সেগুলো হলো: শর্করা, আমিষ, স্নেহ, ভিটামিন, খনিজ লবণ এবং পানি। এগুলোর মধ্যে শর্করা, আমিষ ও স্নেহ পদার্থ (বা ফ্যাট) দেহ পরিপোষক খাদ্য। খাদ্যের স্নেহ এবং শর্করাকে বলা হয় শক্তি উৎপাদক খাদ্য এবং আমিষ যুক্ত খাদ্যকে বলা হয় দেহ গঠনের খাদ্য। ভিটামিন, খনিজ লবণ ও পানি দেহ সংরক্ষক খাদ্য উপাদান, যেগুলো দেহের রোগ প্রতিরোধে সাহায্য করে।",কোনটি দেহ পরিপোষক খাদ্য?,আমিষ
"খাদ্যের উপাদান ছয়টি।  সেগুলো হলো: শর্করা, আমিষ, স্নেহ, ভিটামিন, খনিজ লবণ এবং পানি। এগুলোর মধ্যে শর্করা, আমিষ ও স্নেহ পদার্থ (বা ফ্যাট) দেহ পরিপোষক খাদ্য। খাদ্যের স্নেহ এবং শর্করাকে বলা হয় শক্তি উৎপাদক খাদ্য এবং আমিষ যুক্ত খাদ্যকে বলা হয় দেহ গঠনের খাদ্য। ভিটামিন, খনিজ লবণ ও পানি দেহ সংরক্ষক খাদ্য উপাদান, যেগুলো দেহের রোগ প্রতিরোধে সাহায্য করে।",কোনটি শক্তি উৎপাদক খাদ্য?, স্নেহ
"খাদ্যের উপাদান ছয়টি।  সেগুলো হলো: শর্করা, আমিষ, স্নেহ, ভিটামিন, খনিজ লবণ এবং পানি। এগুলোর মধ্যে শর্করা, আমিষ ও স্নেহ পদার্থ (বা ফ্যাট) দেহ পরিপোষক খাদ্য। খাদ্যের স্নেহ এবং শর্করাকে বলা হয় শক্তি উৎপাদক খাদ্য এবং আমিষ যুক্ত খাদ্যকে বলা হয় দেহ গঠনের খাদ্য। ভিটামিন, খনিজ লবণ ও পানি দেহ সংরক্ষক খাদ্য উপাদান, যেগুলো দেহের রোগ প্রতিরোধে সাহায্য করে।",কোনটি দেহ গঠনের খাদ্য?,শর্করা
"খাদ্যের উপাদান ছয়টি।  সেগুলো হলো: শর্করা, আমিষ, স্নেহ, ভিটামিন, খনিজ লবণ এবং পানি। এগুলোর মধ্যে শর্করা, আমিষ ও স্নেহ পদার্থ (বা ফ্যাট) দেহ পরিপোষক খাদ্য। খাদ্যের স্নেহ এবং শর্করাকে বলা হয় শক্তি উৎপাদক খাদ্য এবং আমিষ যুক্ত খাদ্যকে বলা হয় দেহ গঠনের খাদ্য। ভিটামিন, খনিজ লবণ ও পানি দেহ সংরক্ষক খাদ্য উপাদান, যেগুলো দেহের রোগ প্রতিরোধে সাহায্য করে।",কোনটি দেহ সংরক্ষক খাদ্য উপাদান?,ভিটামিন
"খাদ্যের উপাদান ছয়টি।  সেগুলো হলো: শর্করা, আমিষ, স্নেহ, ভিটামিন, খনিজ লবণ এবং পানি। এগুলোর মধ্যে শর্করা, আমিষ ও স্নেহ পদার্থ (বা ফ্যাট) দেহ পরিপোষক খাদ্য। খাদ্যের স্নেহ এবং শর্করাকে বলা হয় শক্তি উৎপাদক খাদ্য এবং আমিষ যুক্ত খাদ্যকে বলা হয় দেহ গঠনের খাদ্য। ভিটামিন, খনিজ লবণ ও পানি দেহ সংরক্ষক খাদ্য উপাদান, যেগুলো দেহের রোগ প্রতিরোধে সাহায্য করে।",কোনটি রোগ প্রতিরোধে সাহায্য করে?,খনিজ লবণ
"কার্বন, হাইড্রোজেন, অক্সিজেন এবং নাইট্রোজেন - এ চারটি মৌলের সমন্বয়ে আমিষ তৈরি হয়। শরীরে আমিষ পরিপাক হওয়ার পর সেগুলো আ্যামাইনো এসিডে পরিণত হয়। অর্থাৎ বলা যায় একটি নির্দিষ্ট আমিষের পরিচয় হয় কিছু আ্যামাইনো এসিড দিয়ে। মানুষের শরীরে এ পর্যন্ত ২০ ধরনের আ্যামাইনো এসিডের সন্ধান পাওয়া গেছে এবং এই আ্যামাইনো এসিড হচ্ছে আমিষ গঠনের একক।",কিসের সমন্বয়ে আমিষ তৈরি হয়?,"কার্বন, হাইড্রোজেন, অক্সিজেন, নাইট্রোজেন"
"কার্বন, হাইড্রোজেন, অক্সিজেন এবং নাইট্রোজেন - এ চারটি মৌলের সমন্বয়ে আমিষ তৈরি হয়। শরীরে আমিষ পরিপাক হওয়ার পর সেগুলো আ্যামাইনো এসিডে পরিণত হয়। অর্থাৎ বলা যায় একটি নির্দিষ্ট আমিষের পরিচয় হয় কিছু আ্যামাইনো এসিড দিয়ে। মানুষের শরীরে এ পর্যন্ত ২০ ধরনের আ্যামাইনো এসিডের সন্ধান পাওয়া গেছে এবং এই আ্যামাইনো এসিড হচ্ছে আমিষ গঠনের একক।",আমিষ পরিপাক হওয়ার পর কী হয়?,আমিষ আ্যামাইনো এসিডে পরিণত হয়
"কার্বন, হাইড্রোজেন, অক্সিজেন এবং নাইট্রোজেন - এ চারটি মৌলের সমন্বয়ে আমিষ তৈরি হয়। শরীরে আমিষ পরিপাক হওয়ার পর সেগুলো আ্যামাইনো এসিডে পরিণত হয়। অর্থাৎ বলা যায় একটি নির্দিষ্ট আমিষের পরিচয় হয় কিছু আ্যামাইনো এসিড দিয়ে। মানুষের শরীরে এ পর্যন্ত ২০ ধরনের আ্যামাইনো এসিডের সন্ধান পাওয়া গেছে এবং এই আ্যামাইনো এসিড হচ্ছে আমিষ গঠনের একক।",আমিষ গঠনের জন্য কতগুলি আ্যামাইনো এসিড পাওয়া গেছে?,২০
"কার্বন, হাইড্রোজেন, অক্সিজেন এবং নাইট্রোজেন - এ চারটি মৌলের সমন্বয়ে আমিষ তৈরি হয়। শরীরে আমিষ পরিপাক হওয়ার পর সেগুলো আ্যামাইনো এসিডে পরিণত হয়। অর্থাৎ বলা যায় একটি নির্দিষ্ট আমিষের পরিচয় হয় কিছু আ্যামাইনো এসিড দিয়ে। মানুষের শরীরে এ পর্যন্ত ২০ ধরনের আ্যামাইনো এসিডের সন্ধান পাওয়া গেছে এবং এই আ্যামাইনো এসিড হচ্ছে আমিষ গঠনের একক।",আমিষ গঠনের একক কী?,আ্যামাইনো এসিড
"ফ্যাটি এসিড এবং গ্লিসারলের সমন্বয়ে স্নেহ পদার্থ গঠিত হয়। আমাদের খাবারে প্রায় ২০ ধরনের ফ্যাটি এসিড পাওয়া যায়। কঠিন স্নেহ পদার্থগুলোকে চর্বি বলে। চর্বি হচ্ছে সম্পৃক্ত ফ্যাটি এসিড। সাধারণ তাপমাত্রায় এগুলো কঠিন অবস্থায় থাকে। যেমন: মাছ কিংবা মাংসের চর্বি। যেসব স্নেহ পদার্থ তরল, সেগুলোকে তেল বলে, তেল হচ্ছে অসম্পৃন্ত ফ্যাটি এসিড। সাধারণ তাপমাত্রায় এগুলো তরল থাকে।
যেমন: সয়াবিন তেল, সরিষার তেল ইত্যাদি।",ফ্যাটি এসিড এবং গ্লিসারলের সমন্বয়ে কী গঠিত হয়?,স্নেহ পদার্থ
"ফ্যাটি এসিড এবং গ্লিসারলের সমন্বয়ে স্নেহ পদার্থ গঠিত হয়। আমাদের খাবারে প্রায় ২০ ধরনের ফ্যাটি এসিড পাওয়া যায়। কঠিন স্নেহ পদার্থগুলোকে চর্বি বলে। চর্বি হচ্ছে সম্পৃক্ত ফ্যাটি এসিড। সাধারণ তাপমাত্রায় এগুলো কঠিন অবস্থায় থাকে। যেমন: মাছ কিংবা মাংসের চর্বি। যেসব স্নেহ পদার্থ তরল, সেগুলোকে তেল বলে, তেল হচ্ছে অসম্পৃন্ত ফ্যাটি এসিড। সাধারণ তাপমাত্রায় এগুলো তরল থাকে।
যেমন: সয়াবিন তেল, সরিষার তেল ইত্যাদি।",কতগুলি ফ্যাটি এসিড পাওয়া যায় আমাদের খাবারে?,"২০ ধরনের
"
"ফ্যাটি এসিড এবং গ্লিসারলের সমন্বয়ে স্নেহ পদার্থ গঠিত হয়। আমাদের খাবারে প্রায় ২০ ধরনের ফ্যাটি এসিড পাওয়া যায়। কঠিন স্নেহ পদার্থগুলোকে চর্বি বলে। চর্বি হচ্ছে সম্পৃক্ত ফ্যাটি এসিড। সাধারণ তাপমাত্রায় এগুলো কঠিন অবস্থায় থাকে। যেমন: মাছ কিংবা মাংসের চর্বি। যেসব স্নেহ পদার্থ তরল, সেগুলোকে তেল বলে, তেল হচ্ছে অসম্পৃন্ত ফ্যাটি এসিড। সাধারণ তাপমাত্রায় এগুলো তরল থাকে।
যেমন: সয়াবিন তেল, সরিষার তেল ইত্যাদি।",তরল স্নেহ পদার্থগুলি কী নামে পরিচিত?,তেল
"ভিটামিন A এর অভাবে রাতকানা রোগ হয়। এর অভাব দীর্ঘস্থায়ী হলে চোখের কর্নিয়ায় আলসার হতে পারে - এ অবস্থাকে জেরপথ্যালমিয়া রোগ বলে। এই রোগ হলে আক্রান্ত মানুষ পুরোপুরি অন্ধ হয়ে যেতে পারে৷ ভিটামিন A এর অভাবে দেহের বৃদ্ধি বাধাপ্রাপ্ত হয়। অনেক সময় ঘা, সর্দি, কাশি, গলাব্যথা ইত্যাদি উপসর্গও দেখা দেয়। ভিটামিন A এর অভাবে ত্বকের লোমকুপের গোড়ায় ছোট ছোট গুটির সৃষ্টি হতে পারে।",ভিটামিন A এর অভাবে কোন রোগ হয়?,রাতকানা রোগ।
"ভিটামিন A এর অভাবে রাতকানা রোগ হয়। এর অভাব দীর্ঘস্থায়ী হলে চোখের কর্নিয়ায় আলসার হতে পারে - এ অবস্থাকে জেরপথ্যালমিয়া রোগ বলে। এই রোগ হলে আক্রান্ত মানুষ পুরোপুরি অন্ধ হয়ে যেতে পারে৷ ভিটামিন A এর অভাবে দেহের বৃদ্ধি বাধাপ্রাপ্ত হয়। অনেক সময় ঘা, সর্দি, কাশি, গলাব্যথা ইত্যাদি উপসর্গও দেখা দেয়। ভিটামিন A এর অভাবে ত্বকের লোমকুপের গোড়ায় ছোট ছোট গুটির সৃষ্টি হতে পারে।",ভিটামিন A এর অভাবে চোখের কর্নিয়ায় কী হতে পারে?,আলসার।
